Last: mdl.locTime.Y,Mean: mdl.climate.microclim.RsDif,Mean: mdl.climate.microclim.RsDir,Mean: mdl.climate.microclim.RsUp,Mean: mdl.climate.microclim.RthDw,Mean: mdl.climate.microclim.RthUp,Mean: mdl.climate.microclim.TaC,Sum: mdl.climate.microclim.Rain,Mean: mdl.climate.microclim.d,Sum: mdl.forest.ETR,Sum: mdl.forest.NEE,Mean: mdl.forest.Rnet,Mean: mdl.forest.H,Last: mdl.forest.treeStand.Age,Mean: mdl.forest.treeStand.LeafFall,Mean: mdl.forest.treeStand.SoilRootsWaterPotential,Sum: mdl.forest.treeStand.Rm,Sum: mdl.forest.treeStand.Rg,Mean: mdl.forest.treeStand.BranchSenescence,Mean: mdl.forest.treeStand.RootSenescence,Last: mdl.forest.treeStand.IStress,Last: mdl.forest.treeStand.treesCount,Last: mdl.forest.treeStand.DBHmean,Last: mdl.forest.treeStand.HEIGHTmean,Last: mdl.forest.treeStand.W,Last: mdl.forest.treeStand.Wa,Last: mdl.forest.treeStand.Wr,Last: mdl.forest.treeStand.Wstem,Last: mdl.forest.treeStand.WProducted,Mean: mdl.forest.treeStand.canopy.LAI,Mean: mdl.forest.treeStand.canopy.Rnet,Mean: mdl.forest.treeStand.canopy.H,Sum: mdl.forest.treeStand.canopy.Transpiration,Sum: mdl.forest.treeStand.canopy.Evaporation,Sum: mdl.forest.treeStand.canopy.Assimilation,Sum: mdl.forest.underStorey.Rm,Sum: mdl.forest.underStorey.Rg,Mean: mdl.forest.underStorey.foliage.LitterFall,Mean: mdl.forest.underStorey.roots.LitterFall,Mean: mdl.forest.underStorey.perennial.LitterFall,Max: mdl.forest.underStorey.canopy.LAI,Mean: mdl.forest.underStorey.canopy.Rnet,Mean: mdl.forest.underStorey.canopy.H,Sum: mdl.forest.underStorey.canopy.Transpiration,Sum: mdl.forest.underStorey.canopy.Evaporation,Sum: mdl.forest.underStorey.canopy.Assimilation,Mean: mdl.forest.soil.surface.Rnet,Mean: mdl.forest.soil.surface.H,Sum: mdl.forest.soil.surface.ETR,Mean: mdl.forest.soil.waterCycle.MoistureDeficit,Mean: mdl.forest.soil.waterCycle.RootLayerWaterPotential,Mean: mdl.forest.soil.carbonCycle.Ra,Mean: mdl.forest.soil.carbonCycle.Rh,Last: mdl.forest.soil.carbonCycle.HUM,Last: mdl.forest.soil.carbonCycle.BIO,Last: mdl.forest.soil.carbonCycle.DPM,Last: mdl.forest.soil.carbonCycle.RPM,Last: mdl.forest.soil.carbonCycle.HUM_age,Last: mdl.forest.soil.carbonCycle.BIO_age,Last: mdl.forest.soil.carbonCycle.DPM_age,Last: mdl.forest.soil.carbonCycle.RPM_age,Mean: mdl.manager.harvest_Wstem,Mean: mdl.manager.harvest_Wcrown,Mean: mdl.manager.harvest_Wstub,Mean: mdl.manager.harvest_Wtaproot,Mean: mdl.manager.harvest_Wneedles
1987, 32.6555, 0.321335, 1.43383, 361.352, 372.52, 14.05, 3.5, 151.845, 0.758692, -0.336962, 21.8096, -32.667, 17, 0, 0, 2.35922, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.69559, -9.91071, -30.8846, 0.359046, 0.302473, 2.95491, 0.0200229, 0, 0, 0, 4.16667E-06, 0, 0, 0, 0, 0, 0, 0.987131, -1.78238, 0.0971731, 0, 0, 0.00680851, 0.00994588, 7686.35, 587.883, 361.36, 514.288, 219.987, 37.9838, 5.00176, 11.996, 0, 0, 0, 0, 0, 
1987, 39.0784, 16.9045, 2.2207, 323.622, 364.219, 10.75, 4, 178.116, 1.47304, 2.66417, 15.3859, -25.2284, 17, 0.00219698, 0, 1.92008, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.69003, 15.9736, -22.46, 0.29133, 0.980907, 5.02461, 0.0206772, 0, 0, 0, 9.99958E-05, 0, 0, 0, 0, 0, 0, 2.96823, -2.76841, 0.200804, 0, 0, 0.00750821, 0.239501, 7686.71, 587.749, 355.968, 514.915, 219.973, 37.9662, 4.99768, 11.9851, 0, 0, 0, 0, 0, 
1987, 38.2924, 2.38742, 1.7482, 315.945, 343.67, 6.2, 0, 217.555, 0.908507, 3.78967, 12.955, -11.4457, 17, 0.00219698, 0, 1.43732, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.68448, 9.25171, -8.47019, 0.537852, 0.0526465, 3.83411, 0.0197026, 0, 0, 0, 9.98958E-05, 0, 0, 0, 0, 0, 0, 6.16508, -2.97549, 0.318008, 0, 0, 0.00753377, 0.256948, 7687.05, 587.619, 351.138, 515.552, 219.96, 37.9505, 4.99352, 11.9743, 0, 0, 0, 0, 0, 
1987, 38.1492, 42.0582, 2.96153, 263.792, 322.738, 1, 0, 227.818, 0.647627, 0.597804, 21.261, 3.99725, 17, 0.00219698, 0, 1.12193, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.67892, 21.9396, 4.50729, 0.544373, 0.000451735, 6.13879, 0.0175051, 0, 0, 0, 9.97959E-05, 0, 0, 0, 0, 0, 0, 2.45002, -0.510039, 0.102803, 0, 0, 0.00689961, 0.233215, 7687.31, 587.512, 347.527, 516.217, 219.951, 37.9388, 4.98926, 11.9636, 0, 0, 0, 0, 0, 
1987, 40.2479, 4.06646, 1.89089, 307.644, 337.044, 4.35, 4, 57.4106, 0.28914, 1.75457, 14.9152, 2.63633, 17, 0.00219698, 0, 1.35568, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.67337, 9.25902, 2.52016, 0.190606, 0.0315133, 4.06012, 0.0169483, 0, 0, 0, 9.96961E-05, 0, 0, 0, 0, 0, 0, 2.03081, 0.116171, 0.0670202, 0, 0, 0.00641706, 0.185086, 7687.56, 587.406, 344.155, 516.886, 219.942, 37.9279, 4.98495, 11.9528, 0, 0, 0, 0, 0, 
1987, 26.5817, 0.179324, 1.17334, 338.32, 357.563, 9.45, 2, 64.9238, 0.732017, 3.51632, 7.5182, -17.076, 17, 0.00219698, 0, 1.73066, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.66781, 3.37565, -16.0339, 0.0189672, 0.642417, 2.4792, 0.0182978, 0, 0, 0, 9.95964E-05, 0, 0, 0, 0, 0, 0, 0.981114, -1.04215, 0.0706325, 0, 0, 0.00665464, 0.17694, 7687.84, 587.28, 340.192, 517.54, 219.931, 37.9151, 4.98057, 11.9421, 0, 0, 0, 0, 0, 
1987, 42.3123, 25.132, 2.63944, 289.606, 336.769, 4.7, 0, 148.353, 1.01697, 0.472458, 20.2812, -7.93834, 17, 0.00219698, 0, 1.29304, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.66226, 18.9283, -5.34841, 0.40481, 0.385318, 5.63905, 0.0175918, 0, 0, 0, 9.94969E-05, 0, 0, 0, 0, 0, 0, 3.93647, -2.58993, 0.22684, 0, 0, 0.00675441, 0.200037, 7688.09, 587.159, 336.595, 518.201, 219.922, 37.9036, 4.97613, 11.9315, 0, 0, 0, 0, 0, 
1987, 39.8559, 39.2249, 2.96317, 261.85, 316.661, -0.05, 0, 125.013, 0.576942, -0.176787, 24.2693, 6.8171, 17, 0.00219698, 0, 0.980062, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.6567, 22.9085, 8.03396, 0.418472, 0.0219182, 5.59424, 0.0158728, 0, 0, 0, 9.93974E-05, 0, 0, 0, 0, 0, 0, 2.72339, -1.21686, 0.136553, 0, 0, 0.00628382, 0.18423, 7688.3, 587.06, 333.924, 518.884, 219.915, 37.895, 4.97162, 11.9208, 0, 0, 0, 0, 0, 
1987, 39.9449, 2.53209, 1.84085, 318.965, 344.563, 6.45, 3, 92.659, 0.816245, 1.21656, 16.8789, -10.0092, 17, 0.00219698, 0, 1.49622, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.65115, 11.2035, -9.46733, 0.0956671, 0.60782, 3.85351, 0.0164526, 0, 0, 0, 9.9298E-05, 0, 0, 0, 0, 0, 0, 2.67944, -0.541874, 0.112758, 0, 0, 0.00606739, 0.148225, 7688.52, 586.949, 330.931, 519.557, 219.907, 37.8855, 4.96707, 11.9102, 0, 0, 0, 0, 0, 
1987, 12.7947, 0, 0.565559, 323.866, 337.911, 5.15, 0, 74.0671, 0.359159, 3.91598, -1.25029, -11.9435, 17, 0.00219698, 0, 1.29815, 0, 0.165017, 0.257349, 0, 82, 22.1156, 11.5713, 11.7637, 9.81264, 1.95106, 6.66027, 0, 2.64559, -2.21792, -10.1596, 0.0643853, 0.19142, 1.26819, 0.0165147, 0, 0, 0, 9.91987E-05, 0, 0, 0, 0, 0, 0, 1.19148, -1.78395, 0.103354, 0, 0, 0.00627505, 0.161229, 7688.73, 586.834, 327.946, 520.23, 219.899, 37.876, 4.96246, 11.8997, 0, 0, 0, 0, 0, 
